area,bhk,bedrooms,bathrooms,balcony,price,price_per_sqft,area_per_bhk,bathrooms_per_bhk,location_Khandwa Road Indore,location_Mhow Indore,location_Other,location_Rau Indore,location_Super Corridor Indore,location_Ujjain Indore Road Indore,property_type_House,property_type_Villa,furnishing_Semi-Furnished,furnishing_Unfurnished
1068.0,2.0,2.0,2.0,2.0,4500000.0,4213.483146067416,534.0,1.0,False,False,True,False,False,False,True,False,True,False
1800.0,2.0,2.0,2.0,2.0,20000000.0,11111.111111111111,900.0,1.0,False,False,True,False,False,False,True,False,False,True
610.0,1.0,1.0,2.0,1.0,3000000.0,4918.0327868852455,610.0,2.0,False,False,True,False,False,False,True,False,False,False
750.0,2.0,2.0,2.0,2.0,2250000.0,3000.0,375.0,1.0,False,False,True,False,False,False,True,False,False,True
600.0,1.0,1.0,2.0,2.0,5500000.0,9166.666666666666,600.0,2.0,False,False,True,False,False,False,True,False,False,False
800.0,2.0,2.0,2.0,2.0,5500000.0,6875.0,400.0,1.0,False,False,True,False,False,False,True,False,False,True
675.0,3.0,3.0,2.0,3.0,7500000.0,11111.111111111111,225.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,False
1008.0,2.0,2.0,2.0,2.0,6200000.0,6150.793650793651,504.0,1.0,False,False,True,False,False,False,False,True,False,True
630.0,2.0,2.0,2.0,2.0,9000000.0,14285.714285714286,315.0,1.0,False,False,True,False,False,False,True,False,False,True
1800.0,3.0,3.0,2.0,3.0,10000000.0,5555.555555555556,600.0,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
2200.0,4.0,4.0,1.0,5.0,12000000.0,5454.545454545455,550.0,0.25,False,False,True,False,False,False,True,False,True,False
1200.0,2.0,2.0,2.0,2.0,4400000.0,3666.6666666666665,600.0,1.0,False,False,False,False,False,True,True,False,False,True
1000.0,4.0,4.0,2.0,4.0,21100000.0,21100.0,250.0,0.5,False,False,True,False,False,False,False,True,True,False
2038.0,3.0,3.0,2.0,3.0,17000000.0,8341.511285574092,679.3333333333334,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
800.0,2.0,2.0,2.0,2.0,1960000.0000000002,2450.0000000000005,400.0,1.0,True,False,False,False,False,False,True,False,False,True
1200.0,2.0,2.0,2.0,2.0,4200000.0,3500.0,600.0,1.0,False,False,False,False,True,False,True,False,False,True
1352.0,2.0,2.0,2.0,2.0,5500000.0,4068.0473372781066,676.0,1.0,False,False,True,False,False,False,True,False,True,False
3100.0,5.0,5.0,2.0,4.0,19200000.0,6193.548387096775,620.0,0.4,False,False,True,False,False,False,True,False,False,True
1170.0,2.0,2.0,2.0,2.0,6200000.0,5299.145299145299,585.0,1.0,False,False,True,False,False,False,True,False,False,False
3000.0,4.0,4.0,2.0,5.0,20000000.0,6666.666666666667,750.0,0.5,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,4210000.0,4210.0,500.0,1.0,False,False,False,False,True,False,True,False,False,True
580.0,1.0,1.0,2.0,2.0,1800000.0,3103.448275862069,580.0,2.0,False,False,True,False,False,False,True,False,False,True
850.0,2.0,2.0,2.0,2.0,5500000.0,6470.588235294118,425.0,1.0,False,False,True,False,False,False,True,False,True,False
2465.0,2.0,2.0,2.0,2.0,27000000.0,10953.346855983773,1232.5,1.0,False,False,True,False,False,False,True,False,False,True
980.0,2.0,2.0,2.0,2.0,4000000.0,4081.6326530612246,490.0,1.0,False,False,True,False,False,False,True,False,False,False
600.0,3.0,3.0,2.0,2.0,7800000.0,13000.0,200.0,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
2400.0,2.0,2.0,2.0,2.0,14000000.0,5833.333333333333,1200.0,1.0,False,False,True,False,False,False,True,False,False,True
940.0,2.0,2.0,2.0,2.0,4000000.0,4255.31914893617,470.0,1.0,False,False,True,False,False,False,True,False,True,False
800.0,2.0,2.0,2.0,2.0,2400000.0,3000.0,400.0,1.0,False,False,False,False,False,True,True,False,False,True
3552.0,5.0,5.0,2.0,6.0,40000000.0,11261.261261261261,710.4,0.4,False,False,True,False,False,False,False,True,False,False
750.0,3.0,3.0,2.0,2.0,12000000.0,16000.0,250.0,0.6666666666666666,False,False,True,False,False,False,True,False,True,False
1320.0,2.0,2.0,2.0,2.0,4950000.0,3750.0,660.0,1.0,False,False,True,False,False,False,True,False,False,True
2300.0,4.0,4.0,2.0,4.0,14500000.0,6304.347826086957,575.0,0.5,False,False,True,False,False,False,False,True,True,False
450.0,2.0,2.0,2.0,2.0,3600000.0,8000.0,225.0,1.0,False,False,True,False,False,False,True,False,False,True
495.0,1.0,1.0,2.0,1.0,2500000.0,5050.50505050505,495.0,2.0,False,False,True,False,False,False,True,False,False,True
1080.0,3.0,3.0,2.0,2.0,5000000.0,4629.62962962963,360.0,0.6666666666666666,False,False,True,False,False,False,True,False,False,False
840.0,2.0,2.0,2.0,2.0,3350000.0,3988.095238095238,420.0,1.0,False,False,True,False,False,False,True,False,True,False
1050.0,2.0,2.0,2.0,2.0,2500000.0,2380.9523809523807,525.0,1.0,False,False,True,False,False,False,True,False,True,False
2100.0,5.0,5.0,2.0,3.0,22500000.0,10714.285714285714,420.0,0.4,False,False,True,False,False,False,False,True,True,False
850.0,2.0,2.0,2.0,2.0,2200000.0,2588.235294117647,425.0,1.0,False,False,True,False,False,False,True,False,False,False
1500.0,2.0,2.0,2.0,2.0,7000000.0,4666.666666666667,750.0,1.0,False,False,True,False,False,False,True,False,False,True
850.0,2.0,2.0,2.0,2.0,4600000.0,5411.764705882353,425.0,1.0,False,False,True,False,False,False,True,False,True,False
900.0,2.0,2.0,2.0,3.0,4550000.0,5055.555555555556,450.0,1.0,False,False,True,False,False,False,True,False,False,True
1000.0,2.0,2.0,2.0,2.0,4700000.0,4700.0,500.0,1.0,False,False,False,False,True,False,True,False,False,True
372.0,2.0,2.0,2.0,2.0,6500000.0,17473.11827956989,186.0,1.0,False,False,True,False,False,False,False,False,False,True
