price,area,bedrooms,bathrooms,location,bhk,property_type,furnishing,balcony
₹45 Lac,1068,2,,"2 BHK Flat  for Sale in  shubh labh tower, shubh labh tower, Kanadia Road Savindnagar, Indore",2,,Semi-Furnished,2
₹2 Cr,1800,,,Plot/Land for Sale in Nipania Indore,,,,
₹30 Lac,610,1,,"1 BHK Flat  for Sale in  Tulsi Nagar, Indore",1,,Furnished,1
₹22.5 Lac,750,,,Plot/Land for Sale in Rau Road Indore,,,,
₹55 Lac,600,1,,"1 BHK  House for Sale in Vrindavan Green, Rangwasa Indore",1,House,Furnished,
₹55 Lac,800,,,Plot/Land for Sale in Silicon City Indore,,,,
₹75 Lac,675,3,,3 BHK  House for Sale in Bicholi Mardana Indore,3,House,Furnished,3
₹62 Lac,1008,2,,2 BHK Villa for Sale in Kanadia Main Road Indore,2,Villa,Unfurnished,
₹90 Lac,630,,,"Office Space for Sale in Vibrant Residency, Manorama Ganj Indore",,,,
₹1 Cr,1800,3,,3 BHK  House for Sale in Silicon City Indore,3,House,Semi-Furnished,3
₹1.20 Cr,2200,4,1,"4 BHK  House for Sale in Happy Homes Omaxe City 1 , Omaxe City 1 Indore",4,House,Semi-Furnished,5
₹44 Lac,1200,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹2.11 Cr,1000,4,,"4 BHK Villa for Sale in Near Bombay Hospital, Mahalaxmi Nagar Indore",4,Villa,Semi-Furnished,4
₹1.70 Cr,2038,3,,"3 BHK Flat  for Sale in  Dainik Bhaskar Apollo DB City, Dainik Bhaskar Apollo DB City, Apollo DB City, Indore",3,,Semi-Furnished,3
₹19.6 Lac,800,,,Plot/Land for Sale in Khandwa Road Indore,,,,
₹42 Lac,1200,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹55 Lac,1352,2,,"2 BHK Flat  for Sale in  Empire Victoria Park, Empire Victoria Park, Bicholi Mardana, Indore",2,,Semi-Furnished,2
₹1.92 Cr,3100,5,,5 BHK  House for Sale in Bhanwar Kuwa Indore,5,House,Unfurnished,4
₹62 Lac,1170,2,,"2 BHK Flat  for Sale in  Shri Nagar, Indore",2,,Furnished,
₹2 Cr,3000,4,,"4 BHK Flat  for Sale in  Vastu City Rameshwaram, Vastu City Rameshwaram, Bicholi Mardana, Indore",4,,Unfurnished,5
₹42.1 Lac,1000,,,Plot/Land for Sale in Super Corridor Indore,,,,
₹18 Lac,580,1,,"1 BHK Flat  for Sale in  Shriji Valley, Shriji Valley, Shriji Valley, Indore",1,,Unfurnished,2
₹55 Lac,850,2,,"2 BHK Flat  for Sale in  Divya Vihar, Divya Vihar, Jakhya, Indore",2,,Semi-Furnished,2
₹7.51 Cr,3800,4,,4 BHK  House for Sale in Gulmohar Colony Indore,4,House,Furnished,4
₹2.70 Cr,2465,,,Office Space for Sale in New Palasia Indore,,,,
₹40 Lac,980,2,,"2 BHK Flat  for Sale in  Gateway Shree Shyam Heights, Gateway Shree Shyam Heights, Bicholi Mardana, Indore",2,,Furnished,2
₹78 Lac,600,3,,3 BHK  House for Sale in Narmada Nagar Indore,3,House,Semi-Furnished,2
₹1.40 Cr,2400,,,"Plot/Land for Sale in Empire Metro, Jhalariya Indore",,,,
₹40 Lac,940,2,,"2 BHK Flat  for Sale in  Alok Nagar, Indore",2,,Semi-Furnished,2
₹24 Lac,800,,,Plot/Land for Sale in Ujjain Indore Road Indore,,,,
₹4 Cr,3552,5,2,"5 BHK Villa for Sale in Silver Springs Phase 2, Indore Bypass Road Indore",5,Villa,Furnished,6
₹1.20 Cr,750,3,,3 BHK  House for Sale in Brijeshwari Annex Indore,3,House,Semi-Furnished,
₹49.5 Lac,1320,,,"Plot/Land for Sale in Sakar Corridor, Super Corridor Indore",,,,
₹1.45 Cr,2300,4,,4 BHK Villa for Sale in Kanadia Main Road Indore,4,Villa,Semi-Furnished,4
₹36 Lac,450,,,Office Space for Sale in New Siyaganj Indore,,,,
₹25 Lac,495,1,,"1 BHK Flat  for Sale in  Lalaram Nagar, Indore",1,,Unfurnished,1
